All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.072316,0.999894,0.999922,17.424410,17.085156,44.533338,0.000000,11.631912,-0.787008,0.821133,3.963684,3.918114,3.928687,1.007751
-0.071649,0.999891,0.999920,17.434703,17.081326,44.520397,0.000000,11.619365,-0.794115,0.820883,3.959304,3.906441,3.924148,1.007545
-0.070952,0.999889,0.999918,17.449284,17.086274,44.546984,0.000000,11.617343,-0.784552,0.821365,3.969620,3.909521,3.922865,1.007979
-0.070259,0.999886,0.999917,17.444623,17.065969,44.544472,0.000000,11.604169,-0.748931,0.821359,3.959690,3.898201,3.920090,1.007614
-0.069541,0.999883,0.999915,17.446786,17.072055,44.539081,0.000000,11.577777,-0.736263,0.821274,3.955884,3.892373,3.915839,1.007656
-0.068878,0.999880,0.999913,17.426823,17.075507,44.556247,0.000000,11.607322,-0.731864,0.821542,3.962281,3.897873,3.928124,1.008088
-0.068138,0.999877,0.999911,17.421054,17.092655,44.563384,0.000000,11.605612,-0.734260,0.821677,3.957101,3.889539,3.932346,1.008183
-0.067465,0.999874,0.999910,17.410837,17.106840,44.569951,0.000000,11.596341,-0.722252,0.821815,3.959795,3.892834,3.923858,1.008117
-0.066806,0.999871,0.999908,17.389191,17.105176,44.570563,0.000000,11.588558,-0.690491,0.821869,3.949617,3.885803,3.922584,1.007861
-0.066114,0.999869,0.999906,17.361806,17.125557,44.569941,0.000000,11.586942,-0.682529,0.821835,3.955819,3.894323,3.930603,1.008094
-0.065377,0.999866,0.999904,17.322071,17.132229,44.566696,0.000000,11.616013,-0.681868,0.821749,3.958221,3.899436,3.935779,1.008008
-0.064725,0.999863,0.999902,17.303422,17.162494,44.574074,0.000000,11.613554,-0.683524,0.821872,3.953301,3.895324,3.944394,1.008225
-0.064040,0.999861,0.999900,17.283395,17.182264,44.574690,0.000000,11.596622,-0.665700,0.821892,3.951320,3.898375,3.937258,1.008117
-0.063335,0.999859,0.999898,17.263247,17.185699,44.584314,0.000000,11.596501,-0.639024,0.822109,3.942953,3.892260,3.930114,1.008086
-0.062660,0.999856,0.999895,17.236680,17.199697,44.585963,0.000000,11.608020,-0.636320,0.822114,3.953513,3.909262,3.945278,1.008301
-0.061938,0.999854,0.999893,17.211301,17.206468,44.590938,0.000000,11.631981,-0.636629,0.822183,3.953544,3.908115,3.937443,1.008425
-0.061261,0.999852,0.999891,17.205503,17.220279,44.599157,0.000000,11.631499,-0.635787,0.822337,3.952698,3.910404,3.948783,1.008503
-0.060566,0.999850,0.999889,17.213964,17.224942,44.611251,0.000000,11.609871,-0.614910,0.822617,3.947280,3.906681,3.940999,1.008471
-0.059887,0.999848,0.999887,17.194017,17.214041,44.594603,0.000000,11.601848,-0.593017,0.822287,3.941442,3.904177,3.932095,1.008249
-0.059217,0.999846,0.999885,17.193013,17.202763,44.612679,0.000000,11.630466,-0.590938,0.822625,3.955420,3.922034,3.949808,1.008534
-0.058520,0.999843,0.999882,17.185678,17.193636,44.600648,0.000000,11.639887,-0.596187,0.822366,3.951735,3.917562,3.939989,1.008471
-0.057788,0.999841,0.999880,17.198256,17.189687,44.608506,0.000000,11.640097,-0.597034,0.822500,3.956726,3.922639,3.945306,1.008583
-0.057141,0.999839,0.999878,17.215585,17.172555,44.617564,0.000000,11.625744,-0.573619,0.822701,3.951901,3.918243,3.941277,1.008558
-0.056468,0.999837,0.999876,17.229993,17.145819,44.608404,0.000000,11.610654,-0.555498,0.822563,3.943733,3.914652,3.930792,1.008298
-0.055761,0.999835,0.999874,17.236747,17.129496,44.627812,0.000000,11.636825,-0.552388,0.822869,3.955013,3.927380,3.944940,1.008904
-0.055064,0.999832,0.999872,17.249452,17.107019,44.618534,0.000000,11.645500,-0.560746,0.822691,3.953206,3.924266,3.939358,1.008702
-0.054361,0.999830,0.999871,17.280015,17.099213,44.646353,0.000000,11.650940,-0.560597,0.823218,3.962349,3.932590,3.942078,1.009112
