All calculations,ESS 690V PLL Type 1 Model 3,PLL_WT1_690V_G,PLL_WT2_690V_G,PLL_WT3_690V_G,GG_01,GG_02
"b:tnow in s","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:xspeed in p.u.","s:xspeed in p.u."
-0.099669,0.997693,1.001668,1.001668,1.001104,1.000000,1.000000
-0.098942,0.998962,0.998762,0.998762,0.999094,1.000000,1.000000
-0.098279,0.999135,0.999274,0.999274,0.999400,0.999999,0.999999
-0.097632,0.999524,1.000155,1.000155,1.000248,0.999998,0.999998
-0.096909,0.999430,0.999492,0.999492,0.999501,0.999996,0.999997
-0.096210,0.999574,0.999763,0.999763,0.999749,0.999994,0.999996
-0.095517,0.999616,0.999749,0.999749,0.999782,0.999992,0.999994
-0.094865,0.999617,0.999923,0.999923,0.999902,0.999990,0.999993
-0.094172,0.999468,0.999785,0.999785,0.999792,0.999987,0.999991
-0.093497,0.999565,0.999757,0.999757,0.999710,0.999985,0.999989
-0.092815,0.999528,0.999919,0.999919,0.999867,0.999982,0.999988
-0.092126,0.999570,0.999752,0.999752,0.999779,0.999979,0.999986
-0.091461,0.999636,0.999949,0.999949,0.999919,0.999975,0.999984
-0.090783,0.999590,0.999757,0.999757,0.999774,0.999972,0.999982
-0.090087,0.999546,0.999748,0.999748,0.999689,0.999968,0.999980
-0.089407,0.999631,0.999880,0.999880,0.999846,0.999965,0.999978
-0.088718,0.999638,0.999729,0.999729,0.999730,0.999961,0.999975
-0.088061,0.999612,0.999911,0.999911,0.999886,0.999958,0.999973
-0.087369,0.999490,0.999738,0.999738,0.999740,0.999954,0.999971
-0.086714,0.999597,0.999748,0.999748,0.999701,0.999951,0.999969
-0.086012,0.999536,0.999871,0.999871,0.999833,0.999948,0.999966
-0.085334,0.999636,0.999755,0.999755,0.999777,0.999944,0.999964
-0.084638,0.999670,0.999909,0.999909,0.999897,0.999941,0.999962
-0.083934,0.999625,0.999725,0.999725,0.999731,0.999938,0.999959
-0.083259,0.999597,0.999595,0.999595,0.999594,0.999935,0.999957
-0.082540,0.999666,0.999795,0.999795,0.999782,0.999933,0.999954
-0.081865,0.999685,0.999797,0.999797,0.999808,0.999930,0.999952
-0.081163,0.999599,0.999856,0.999856,0.999843,0.999928,0.999949
-0.080523,0.999559,0.999728,0.999728,0.999710,0.999925,0.999947
-0.079859,0.999613,0.999597,0.999597,0.999604,0.999923,0.999945
-0.079161,0.999593,0.999855,0.999855,0.999853,0.999920,0.999942
-0.078482,0.999700,0.999819,0.999819,0.999835,0.999918,0.999940
-0.077776,0.999705,0.999871,0.999871,0.999844,0.999916,0.999938
-0.077117,0.999651,0.999718,0.999718,0.999690,0.999913,0.999936
-0.076441,0.999635,0.999591,0.999591,0.999599,0.999911,0.999933
-0.075740,0.999709,0.999820,0.999820,0.999814,0.999908,0.999931
-0.075049,0.999732,0.999844,0.999844,0.999867,0.999905,0.999929
-0.074350,0.999629,0.999833,0.999833,0.999815,0.999903,0.999927
