All calculations,Vmesa_ESS_690V,ESS_GC,PQ_Meas_BCs_CurrentSource,ESS_GC,ESS_GC,BC_DCLinkSide,FC_DCLinkSide
"b:tnow in s","s:u in p.u.","m:Psum:busac in MW","s:p in p.u.","s:uDC in p.u.","s:iDC in p.u.","s:i0dc in p.u.","s:i0dc in p.u."
-0.050316,1.014571,-0.469166,0.059228,1.000000,0.012421,0.028793,0.000347
-0.049603,1.013487,-0.452929,0.068493,1.000000,0.011958,0.028472,0.000343
-0.048885,1.015160,-0.430980,0.072465,1.000000,0.017813,0.028156,0.000339
-0.048246,1.015547,-0.426894,0.079642,1.000000,0.024995,0.027856,0.000336
-0.047551,1.016605,-0.417451,0.070812,1.000000,0.017607,0.027564,0.000332
-0.046876,1.014669,-0.432200,0.063843,1.000000,0.009096,0.027264,0.000328
-0.046197,1.013785,-0.421755,0.056170,1.000000,0.008460,0.026983,0.000324
-0.045478,1.014217,-0.413613,0.049759,1.000000,0.013751,0.026704,0.000321
-0.044836,1.015661,-0.402362,0.049058,1.000000,0.019012,0.026440,0.000317
-0.044120,1.015504,-0.403677,0.049618,1.000000,0.011020,0.026173,0.000313
-0.043386,1.013842,-0.410586,0.058556,1.000000,0.005316,0.025909,0.000310
-0.042714,1.014286,-0.391248,0.061920,1.000000,0.006668,0.025667,0.000306
-0.041963,1.015286,-0.373221,0.067238,1.000000,0.014143,0.025426,0.000302
-0.041277,1.016678,-0.364506,0.068255,1.000000,0.014990,0.025197,0.000299
-0.040625,1.016508,-0.356571,0.064678,1.000000,0.006804,0.024965,0.000296
-0.039887,1.013657,-0.380670,0.053179,1.000000,0.002061,0.024745,0.000292
-0.039184,1.013904,-0.372315,0.048196,1.000000,0.004849,0.024535,0.000289
-0.038464,1.015321,-0.352242,0.044883,1.000000,0.011736,0.024339,0.000286
-0.037765,1.015366,-0.359924,0.045024,1.000000,0.009596,0.024150,0.000283
-0.037117,1.015706,-0.349379,0.048266,1.000000,0.001412,0.023957,0.000280
