All calculations,ESS 690V PLL Type 1 Model 3,PLL_WT1_690V_G,PLL_WT2_690V_G,PLL_WT3_690V_G,GG_01,GG_02
"b:tnow in s","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:xspeed in p.u.","s:xspeed in p.u."
1.127082,0.998938,0.999011,0.999011,0.999006,0.998731,0.998757
1.127796,0.998952,0.998864,0.998864,0.998872,0.998726,0.998752
1.128478,0.999011,0.999100,0.999100,0.999117,0.998722,0.998748
1.129168,0.999064,0.999171,0.999171,0.999203,0.998718,0.998744
1.129920,0.999014,0.999034,0.999034,0.999046,0.998713,0.998739
1.130615,0.999012,0.999082,0.999082,0.999028,0.998709,0.998735
1.131313,0.998959,0.998950,0.998950,0.998934,0.998705,0.998731
1.132019,0.999079,0.998943,0.998943,0.998964,0.998700,0.998726
1.132720,0.999023,0.999170,0.999170,0.999186,0.998696,0.998722
1.133371,0.998884,0.998989,0.998989,0.999031,0.998692,0.998718
1.134084,0.998947,0.998963,0.998963,0.998932,0.998688,0.998713
1.134794,0.998950,0.999122,0.999122,0.999103,0.998683,0.998709
1.135472,0.999009,0.999012,0.999012,0.999049,0.998679,0.998705
1.136228,0.999059,0.999123,0.999123,0.999119,0.998675,0.998701
1.136881,0.998959,0.999005,0.999005,0.998991,0.998670,0.998696
1.137580,0.998976,0.998849,0.998849,0.998849,0.998666,0.998692
1.138284,0.998979,0.998973,0.998973,0.998973,0.998662,0.998688
1.138969,0.999044,0.999101,0.999101,0.999125,0.998657,0.998683
1.139722,0.998953,0.999009,0.999009,0.999049,0.998653,0.998679
1.140420,0.998823,0.999043,0.999043,0.999008,0.998649,0.998675
1.141094,0.998984,0.998898,0.998898,0.998885,0.998644,0.998670
1.141818,0.998899,0.998885,0.998885,0.998913,0.998640,0.998666
1.142479,0.999017,0.999123,0.999123,0.999135,0.998636,0.998662
1.143261,0.998990,0.998998,0.998998,0.999024,0.998631,0.998657
1.143940,0.998909,0.998842,0.998842,0.998861,0.998627,0.998653
1.144668,0.998944,0.998942,0.998942,0.998915,0.998623,0.998649
1.145370,0.999020,0.999017,0.999017,0.999018,0.998618,0.998644
